B	face egg shape 
N	doesn t fat face 
C	face shape square 
B	round egg shape face wrinkle face color yellow chin round 
D	beard long face 
C	square face broad m shaped forehead 
A	face round shape 
A	beard round face 
C	face rectangle shape skin beige clean 
A	round face 
N	tile weight face jaw 
B	oval face 
D	beard long face 
E	elongate v shaped face bright beige skin good skin texture 
A	beard round face 
A	face round shape 
A	face round cheek plump skin alabaster clean 
B	face oval 
B	face oval 
E	v shaped face yellowish brown skin good skin texture 
D	beard long face 
N	form angle face large ear 
B	oval face light beige skin good skin texture 
A	face round shape 
A	face round shape 
A	face round tip chin slightly point 
B	face egg shape 
A	face round shape 
C	short sideburns mouth chin face wide wide round jaw square jaw shape face wide round jaw square jaw shape face wide round jaw square jaw shape face 
D	round shape face line 
N	jawline clear 
N	
C	face shape square 
E	v shaped face bright beige skin soft skin 
E	sharp face slight cheekbone little square jaw sharp face slight cheekbone little square jaw 
N	
E	face shape like heart jawline angled jaw size normal 
E	face heart shape 
F	v shaped face reddish white skin little oily skin 
A	beard round face 
C	face square shape skin beige clean 
B	white skin egg shape face face 
B	oval face 
D	little beard long face 
B	face shape oval forehead shape m shape forehead 
A	slightly square jaw round face shape point jaw slightly square jaw round face shape point jaw slightly square jaw round face shape point jaw 
B	face shape egg shape bright white skin 
B	white skin egg shape face face take 
D	slightly angular long face shape short black hair bang give neutral image 
D	oblong face straight forehead 
B	face oval shape cheekbone 
C	face angular skin reddish 
B	apricot skin egg shape face face 
B	face oval shape 
N	
A	bread round face 
E	sharp shape face line 
A	round shape face line 
C	squared face 
N	red flag face 
B	face oval shape jawline sharp angle 
C	face generally angle square face wrinkle face generally angle square face wrinkle 
N	
E	sharp face shape square jaw point tip jaw sharp face shape square jaw point tip jaw sharp face shape square jaw point tip jaw 
A	beard mustache round face 
D	lip light pink face shape long little chin cheek fat 
B	face shape oval raise cheekbone 
N	
A	beard round face 
C	chin angle ear large overall face shape square white skin 
B	face egg shape 
A	square jaw round face shape tip jaw square jaw round face shape tip jaw square jaw round face shape tip jaw 
D	oblong face straight broad forehead beige color face overall reddish 
N	
A	face round shape 
A	round face 
N	lot wrinkle face strange look face 
C	face shape rectangle raise cheekbone 
A	beard round face 
C	angle face square jaw point tip jaw angle face square jaw point tip jaw angle face square jaw point tip jaw 
A	shape face round shape 
A	round face deep laugh line 
B	white skin egg shape face face 
C	face shape rectangle angled jaw face color natural color face shape rectangle angled jaw face color natural color face shape rectangle angled jaw face color natural color 
B	face shape oval slightly angle forehead moderate m shaped forehead 
N	
A	face round shape 
B	face shape egg shape 
B	medium refined nose oval shape face 
B	beard long face 
E	sharp face shape jawline slight square jaw sharp face shape jawline slight square jaw sharp face shape jawline slight square jaw 
B	face oval 
F	face shape form triangle straight curved forehead 
B	oval face shape angle jawline 
N	
A	face round shape 
N	
N	
D	face shape little long circular 
C	face shape square face large face shape square face large 
C	face angle 
N	
B	ear face egg shape 
B	shape face egg shape 
A	face round shape 
D	face shape oblong doesn t fat face skeletal face shape doesn t fat face skeletal face shape 
A	beard round face 
N	face lot redness 
A	look gentle overall round face like coin 
C	face shape rectangle 
D	little mustache beard long face 
B	tall refined nose oval face 
A	keep straight face look like nice person shape face round shape 
A	face round shape 
B	face shape oval 
C	face square brother 
B	oval face 
B	face shape oval face face shape oval face 
B	medium bulk nose oval shape face clean shave angle leave face better leave ear 
C	face square type 
D	beard mustache long face 
A	face shape round golden natural color lot yellow 
E	square jaw sharp face point tip square jaw sharp face point tip 
B	face oval 
B	oval face white skin bad skin texture 
A	slight brown tone skin lot cheek fat round chin make look like round face 
C	beard angular face 
A	face line round 
E	v shaped face bright beige skin bad skin texture 
B	apricot skin egg shape face leave face 
A	long round face shape 
B	oval face red apricot skin ordinary skin texture 
N	
E	beard invert triangle face 
N	ear visible entire face red 
D	oblong face shape 
F	face shape triangle 
B	face egg shape 
C	beard angular face 
C	beard angular face 
B	oval face 
B	oval face shape 
A	round shape face line 
A	face round shape 
N	
D	beard long face 
N	
C	wear glass slightly angle face good bright impression 
D	long face 
A	round face 
B	face oval 
C	face shape slightly angle rectangle curve forehead 
A	round small face square jaw round small face square jaw 
E	slightly elongate v shaped face red white skin good skin texture 
D	beard long round face 
A	face shape circular large ear 
B	oval face pinkish white skin overall good skin texture 
N	
A	beard round face 
B	oval face dark light brown skin good skin texture 
A	round face 
E	angle v shaped face white skin good skin texture 
A	round face 
D	slightly elongate face beige skin good skin texture 
B	face egg shape 
B	medium refined nose oval shape face oblique angle leave face better leave ear 
C	face angle 
D	face long thin red yellowish skin color 
C	long slightly angled face 
D	beard long face 
N	expressionless face mouth tightly close 
A	round face 
A	round face apricot skin good skin texture 
C	face shape rectangle broad straight forehead face color cool sand color 
N	
B	face oval skin beige wrinkles blemish wrinkles face wrinkles forehead eye laugh line thick 
N	
C	face shape square straight forehead 
B	face oval 
N	
A	face shape round low face short 
A	face round skin beige entire face blemish face round skin beige entire face blemish 
A	flesh face 
B	face egg shape 
A	shape face round shape 
N	
B	face oval shape 
A	round face 
C	shape face square shape 
N	
F	face shape form long triangle face pale porcelain color beard mark upper low jaw lip 
N	
N	
D	face shape oblong 
N	
C	angle face square jaw point tip angle face square jaw point tip 
B	face oval 
E	heart shape face 
N	
B	oval face yellowish brown skin ordinary skin texture 
F	face shape triangle 
A	face round shape 
A	face round shape 
B	tall nose wide forehead egg shape face 
B	oval face 
B	chin gentle face generally round egg shape 
A	face round shape 
A	beard round face 
A	face round shape 
A	face round shape 
N	wide face face reddish 
N	
A	face round shape 
N	
D	beard long face 
D	smile line face little cheek fat long face shape 
N	earlobe small jaw jawline warm earlobe small jaw jawline warm 
B	shape face egg shape 
A	dimple cheek face shape round overall 
N	
C	face shape square curve forehead 
D	shape face long shape 
C	beard angular face 
B	bright white skin long round egg shape face 
A	face round shape 
A	round face large ear slight square jaw round face large ear slight square jaw 
C	slightly broad angled face 
N	
A	round face curved forehead 
A	round face 
D	beard long face 
D	ear visible long face shape 
E	sharp face shape point jaw small square jaw sharp face shape point jaw small square jaw sharp face shape point jaw small square jaw 
A	face round shape 
A	wide round square face shape 
C	broad face angle jaw 
N	reddish face small low jaw 
A	face shape round thin 
A	beard round face 
A	face chubby round face 
C	slightly angled face shape 
A	bread round face 
A	face round shape 
A	round face line 
N	
A	slightly square jaw round tip jaw round face shape slightly square jaw round tip jaw round face shape slightly square jaw round tip jaw round face shape 
A	round face shape small low jaw reddish face 
C	slightly wide angled face 
E	sharp face line 
B	white skin egg shape face face 
A	small refined nose round shape face 
C	face angle shape 
B	medium refined nose oval shape face 
A	round face 
C	face shape square 
A	round shape face line 
B	person picture man s s wrinkles face white skin egg shape face face 
N	
C	face shape square type 
A	beard round face 
B	egg shape face reddish white skin fine skin texture 
F	face shape triangle 
D	little mustache beard long face 
A	square jaw round face end jaw square jaw round face end jaw square jaw round face end jaw 
A	beard round face 
B	oval face slightly red bright beige skin good skin texture 
N	
A	round shape face line 
D	beard long face 
E	round shape face line sharp shape face line 
N	face flat red flag face 
C	face square shape 
A	flesh cheek chin make round face shape 
A	beard round face 
D	oblong face straight forehead slight oblique angle right face little better 
A	generally round face jaw gentle firmness 
B	face egg shape 
A	face shape round redness face generally red warm sand color face shape round redness face generally red warm sand color 
A	medium refined nose round shape face 
C	beard bloated chin nose face shape angle like pentagon face long beard bloated chin nose face shape angle like pentagon face long 
D	keep straight face look like nice person shape face long shape 
A	face round shape 
B	oval face shape wear earring strings jawline 
B	face egg shape 
N	beard cover low face 
F	beard invert triangle face 
A	beard mustache round face 
C	angled face shape 
E	face heart shape 
A	round face bright white skin good skin texture 
C	face shape square large jaw angle 
A	beard round face 
A	beard round face 
N	
N	
N	small low jaw 
C	face square shape 
B	oval face white skin good skin texture 
A	face round shape 
N	
E	elongate v shaped face beige skin decent skin texture 
C	face shape rectangle 
B	face shape oval shape curve forehead 
E	sharp face line 
A	slightly angle chin round face 
E	v shaped face white skin decent skin texture 
B	face reddish show freckle face 
B	lot wrinkle face face reddish 
A	beard round face 
C	beard angular face 
A	round face shape 
N	
A	face round shape 
A	bread round face 
B	oval face bright beige skin bad skin texture 
N	
C	face shape similar hexagon little chin fat 
B	oblong face straight forehead 
A	round face 
B	white skin egg shape face face 
A	face round shape 
A	round shape face line 
B	face type oval type wide curved forehead face color natural slight pink color cheek 
B	egg shape face bright beige skin bad skin texture 
A	shape face round shape 
B	face egg shape 
A	square jaw round face shape tip jaw square jaw round face shape tip jaw square jaw round face shape tip jaw 
E	face shape slightly m shaped wide forehead chin round face color warm natural color yellowish color 
A	face round shape 
B	face oval 
A	rounded face shape 
D	face long round 
C	face shape square type 
A	round face 
E	sharp jawline 
B	apricot skin egg shape face face 
B	face shape oval shape color face cool sand cheek nose chin pinkish 
E	sharp shape face line 
D	long face 
A	shape face round shape 
N	
N	
C	face shape rectangle 
D	face shape oblong 
B	white skin egg shape face face 
E	face shape heart shape big pointed jaw 
D	clear jawline long jaw clear jawline long jaw 
E	jawline sharp 
F	triangle face shape 
N	doesn t fat face 
C	face square shape skin natural clean 
F	face diamond shape 
A	chin jawline round warm 
E	face shape sharp jawline face shape sharp jawline 
C	beard angular face 
B	face oval 
A	wide round face shape 
A	face round shape 
B	beard wrinkles face face egg shape 
C	small slightly angle face 
C	face rectangle shape slight cheekbone 
A	face round shape 
B	face shape round egg shape 
C	rectangular face shape point chin 
A	face shape round 
E	face heart shape 
C	face square shape 
B	face oval skin beige small pimple forehead cheek nose 
N	
B	oval face shape 
C	face shape square 
A	face round shape 
A	round shape face line 
A	bread round face 
C	slightly wide angled face 
B	white skin egg shape face face 
A	round face 
N	
C	beard angular face 
C	eye large face double eyelid yellow eye light eyebrow square angle face shape wrinkle 
A	shape face round shape 
A	round face shape 
C	beard angular face 
A	face round shape 
A	face round shape 
A	chubby face round face shape 
A	round shape face line fat face round shape face line fat face 
A	face round shape 
B	face egg shape 
A	round shape face line 
A	wide round face shape 
A	keep straight face look like nice person shape face egg shape 
C	shape face square shape 
C	face square shape 
E	sharp shape face line small face 
D	face shape long oval type jawline round 
C	broad face 
E	angled jaw sharp jaw angle jaw sharp jaw 
B	face oval 
C	face shape angle 
B	keep straight face look like nice person shape face egg shape 
B	face oval 
B	white skin egg shape face face 
B	wide oval face beige skin bad skin texture 
D	long round face 
D	long face 
D	beard long face 
N	
D	thin face 
C	nose big wrinkle face smile face angled flesh cheek chin 
A	round shape face line 
C	face shape rectangle shape straight forehead face color yellowish natural color pigmentation freckle nose cheek forehead 
B	curved forehead oval shape face 
B	face egg shape 
N	jawline soft 
A	face round shape 
A	face shape round shape slight cheek fat 
B	shape face egg shape 
A	shape face round shape 
D	beard long face 
B	face reddish 
B	white skin egg shape face face 
C	rectangle shaped face 
B	face oval 
C	beard angular face 
D	long face 
B	face egg shape 
B	shape face egg shape 
C	shape face rectangle shape forehead wide straight 
A	cheekbone round face small ear 
B	oval face bright beige skin good skin texture 
A	beard round face 
N	
D	style show ear long face shape 
B	face shape oval 
B	face oval yellow skin 
C	face shape rectangle shape narrow forehead fuji mount shape forehead face color warm ivory color crepe color blusher cheek 
C	slightly angled face shape 
B	oval face shape large low jaw 
N	light apricot reddish skin short beard slip jawline 
B	face egg shape 
E	heart shape face jawline angle 
A	round face shape jawline round similar face size width 
B	face shape round oval shape wide forehead face color warm beige lot yellow color freckle forehead cheek nose 
A	bread round face 
B	person picture woman wrinkle face look like s white skin egg shape face face 
A	lot fat face 
B	face oval 
B	face egg shape 
C	slightly angular small face shape 
A	beard long round face 
N	
A	freckle face reddish overall face round face 
N	
D	little beard mustache long face 
N	pointed jaw face generally bright 
A	round face square jaw 
A	round shape face line 
A	round face 
N	
D	beard long face 
A	ear small round face shape generally round 
N	
B	oval face pale nasolabial fold 
A	small little long round face 
E	face heart shape 
B	face shape egg shape skin clean white 
A	face round shape 
C	keep straight face look like nice boy shape face square shape 
A	face round shape 
D	little beard mustache long face 
B	person picture woman s s wrinkles face white skin egg shape face face 
C	shape face square shape 
A	face round shape 
A	face round shape 
C	face square shape 
B	face shape egg shape round yellow skin 
N	
B	face shape oval round hair loss entire broad forehead reveal face color warm beige 
B	face shape oval face face shape oval face 
B	wear small pierce thick egg shape face 
C	face square type 
N	
A	round shape face line 
C	face shape square jawline angle 
D	cheeks jawline thin long face cheek jawline thin long face 
C	angled face shape 
B	white skin egg shape face face 
A	shape face round shape 
A	round face 
B	oval shape face freckle cheek 
B	face oval shaped skin ivory hairy 
N	jawline jawline gently round lip little small firm jawline jawline gently round lip little small firm 
E	v shaped face red beige skin good skin texture 
A	face round skin beige clean 
D	pear shape face 
A	small refined nose round shape face hair chin length short hair end hair curl face 
C	angled face face chubby 
A	face round shape 
A	beard round face 
A	face round shape 
B	round egg shape face 
A	face round shape 
B	white skin egg shape face face 
B	face shape oval round shape broad round forehead face color warm ivory color 
F	beard invert triangle face 
C	face shape square big angular jaw 
N	
B	oval face 
A	face shape round jawline round 
A	face round shape 
B	medium refined nose oval shape face 
E	jawline sharp lip dark pink 
N	
N	
A	beard round face 
N	
N	
A	round forehead jawline forehead wide vertically 
D	oblong shaped face 
A	cheek connect chin form round face 
A	round shape face line 
D	neat teeth pale red lip elongate face overall skin light apricot jawline soft 
N	beard cover low face small low jaw 
D	shape face long shape 
A	face round shape 
E	face shape sharp jawline face shape sharp jawline 
B	face shape oval 
C	face square shape 
N	
E	sharp face square jaw point tip sharp face square jaw point tip 
E	sharp shape face line 
A	lot redness face face shape round 
N	
A	shape face round 
D	little beard mustache long face 
B	face egg shape 
C	shape face square shape 
D	face shape oblong ivory color redness nose cheek 
A	face round shape 
A	small face round shape face line smile line 
D	shape face long shape 
A	bread round face 
B	face egg shape 
B	face egg shape 
D	elongated face bright beige skin oily skin 
B	oval shape face ivory skin color clean skin 
D	long face 
A	face round shape 
B	shape face egg shape 
B	face oval 
A	round shape face line 
A	round shape face line 
N	
D	oblong face shape 
B	face shape oval shape face color golden natural color yellowish color 
B	face egg shape 
N	
A	bread round face 
C	slightly angled face shape 
A	round face 
A	face round shape 
B	person picture male wrinkle face s s white skin egg shape face face 
A	round face 
C	rectangle shaped face straight forehead 
N	
N	awkward look face jawline clear 
A	beard round face 
B	face oval 
A	beard round face 
N	
A	beard round face 
A	round face 
A	round face broad forehead 
B	oval face 
N	wrinkle face overall white skin 
B	face shape egg shape cheekbone short chin 
F	beard invert triangle face 
N	
F	face diamond shape 
C	medium bulb nose rectangle shape face 
E	sharp jaw eye 
A	face round shape 
D	shape face long shape 
E	face heart shape 
N	
E	sharp face shape big ear square jaw 
A	beard round face 
A	small bulk nose round shape face 
D	face pear shape smile 
A	face round shape 
A	person picture woman wrinkles face s s white skin round face face 
C	beard angular face 
N	
B	face egg shape 
B	face egg shape 
B	oval face shape jawline round 
D	long face 
A	round shape face line 
D	beard long face 
B	face egg shape 
N	
B	egg shape face light yellowish brown skin bad skin texture 
D	long face 
D	little beard mustache long face 
A	short beard round face 
B	face egg shape 
B	oval face shape 
E	elongate v shaped face white skin good skin texture 
F	face diamond shape jawline angle 
N	
C	little beard mustache angular face 
A	face shape round short low jaw 
D	face shape pear lot fat face 
N	
A	chubby round face white skin soft skin 
C	face shape rectangle 
B	egg shape face dark beige skin good skin texture 
E	elongate v shaped face bright beige skin bad skin texture 
B	face oval 
B	face egg shape 
D	small refined bulb nose oblong face leave face little better leave ear 
N	
B	face oval shape 
C	medium refined nose rectangle shape face big low jaw 
B	oval face 
B	face oval 
A	round face 
C	rectangular face shape large cheekbone 
D	little beard mustache long face 
A	cheek little reddish overall face shape round skin white 
E	elongate v shaped face white skin good skin texture 
N	
D	long thin face 
E	sharp face large ear slight square jaw sharp face large ear slight square jaw 
A	ear large overall face shape round 
A	face round shape 
C	angle face square jaw round tip jaw angle face square jaw round tip jaw angle face square jaw round tip jaw 
A	beard round face 
B	person picture woman wrinkles face s s white skin egg shape face face 
B	ear slightly fold face egg shape yellow skin 
C	face square shape 
B	face oval 
B	face shape oval curved forehead 
A	beard round face 
C	face round slightly angle skin warm beige 
E	face shape like heart 
C	angular masculine face shape 
N	
A	red flag face round face type birthmark face 
C	beard angular face 
C	face shape square jaw small jawline angled jaw small jawline angle 
C	face rectangle shape skin beige reddish 
D	long face 
A	shape face round shape 
B	jawline round 
C	wide angled face shape 
C	shape face square shape 
B	skin color little bright freckle face face egg shape 
A	chin round face shape square jaw chin round face shape square jaw 
C	big face angle jaw 
C	square face shape broad straight forehead 
A	round face dark yellowish brown skin good skin texture 
A	beard round face 
C	face square shape 
E	face heart shape 
C	face shape square 
B	face oval slight cheekbone skin beige light redness nose cheek 
C	face shape angular long chin wide forehead 
A	round face 
B	face egg shape 
E	slightly square jaw sharp face point tip slightly square jaw sharp face point tip 
E	beard sharp face 
B	person picture woman look wrinkles face s s white skin egg shape face face 
E	face heart shape 
A	bread round face 
A	face round shape 
A	face round shape 
C	tall refined nose square face leave face 
C	long chin pentagonal face overall 
N	
B	oval face 
B	shape face egg shape 
N	
N	face red 
E	face shape invert triangle shape 
D	tall refined nose oblong face 
D	nose high wrinkles face smile long face shape white skin 
B	apricot skin egg shape face face 
A	face shape round straight forehead 
B	face oval 
B	shape face oval shape forehead straight 
C	face square shape smile 
C	medium refined nose rectangle shape face 
A	face round shape 
D	face long shape 
C	short small soft nose square face 
N	
B	face egg shape 
C	slightly angled face shape 
N	angled face point jaw angle face point jaw 
B	face egg shape 
A	face round shape 
B	face egg shape 
D	face shape oblong shape wide forehead long overall length face color warm natural entire face flush face color warm natural entire face flush 
C	face short angle square 
B	oval face white skin good skin texture 
C	beard angular face 
N	
B	face egg shape 
D	face shape oblong skin natural tan 
A	beard round face 
A	round face warm sand color skin 
B	eye black wrinkles eye lot freckle face skin little dark face shape shape like angled egg shape egg 
D	face long white clean skin 
N	
N	
A	large ear round face 
A	round shape face line 
A	beard round face 
N	small face smile line 
D	distinct eyebrow bone long face 
A	beard round face 
B	apricot skin egg shape face face 
B	face shape oval forehead shape curve slightly straight little bit millet jawline 
N	
C	flesh chin face shape look rectangular face shape flesh chin face shape look rectangular face shape 
B	white skin egg shape face face 
A	face round shape 
C	face shape rectangle skin ivory clean 
E	round v shaped face bright beige skin good skin texture 
C	shape face square shape 
B	person picture male wrinkle face s s white skin egg shape face face 
A	round face reddish white skin bad skin texture 
A	face round shape 
N	jawline stand 
B	face round shape 
E	heart face shape 
F	face diamond shape normal jaw size angle 
B	white skin egg shape face face 
F	face shape triangle skin natural color clean 
D	beard round long face 
A	face round shape 
A	face round shape 
A	face round shape 
A	shape face round shape 
B	large low jaw oblong shape face curve forehead 
E	beard invert triangle face 
D	long face shape ear visible 
B	keep straight face look like nice person shape face egg shape 
A	skin color bright mole face face round shape 
A	small face round shape face line 
A	round squishy face reddish white skin poor skin texture 
A	face round shape 
A	face round shape 
B	white skin egg shape face face 
C	angular face shape 
D	beard long face 
F	diamond shape face slight smile skin ivory entire face slightly light freckle 
B	forehead wide face shape shape egg 
D	beard cover low face low jaw long 
A	round face 
N	long face little red vest 
C	face shape square jawline angle low jaw big 
B	white skin egg shape face face 
A	round face shape 
C	beard angle face 
B	person picture male wrinkle face s s white skin egg shape face face 
E	v shaped face white skin good skin texture 
B	face egg shape 
A	round shape face line 
A	bread round face 
N	face red drunk 
N	nose short entire face reddish lip red 
B	face oval skin porcelain color clean 
A	round face 
A	shape face round shape 
A	face round shape 
A	shape face round shape 
F	diamond face shape refine medium nose look face visible leave 
B	oval face face red overall 
E	face heart shape 
C	straight forehead square shaped face right face better right sticking ear see 
A	face round shape 
A	sharp round face line 
A	round shape face line 
A	face round shape 
A	round shape face line 
A	face shape thin cheek round flesh attach 
F	beard invert triangle face 
E	face heart shape 
C	face rectangle shape skin beige color overall wrinkle thick 
C	face shape square 
C	face shape rigid shape slightly angle jaw straight forehead face shape rigid shape slightly angle jaw straight forehead color face pale porcelain pink flush reveal cheek 
E	slightly point jaw sharp face little square jaw slightly point jaw sharp face little square jaw slightly point jaw sharp face little square jaw 
B	white skin egg shape face face 
B	face oval 
C	square face shape square jawline prominent feature 
B	face shape egg shape chin round 
B	oval face red white skin good skin texture 
E	long face sharp shape face line 
B	face egg shape 
N	
A	beard round face 
A	beard round face 
N	
B	egg shape face slight fat cheek 
B	flesh flesh cheek chin oval face shape 
N	
C	slightly long broad angle face shape 
D	face shape oblong 
B	oval face shape 
D	oblong face broad straight forehead 
A	face round shape 
B	nose low nostril visible cheek fat cheekbone protrude egg shape face shape 
A	face round shape 
C	beard angular face 
D	face long 
N	
B	oval face shape 
C	face square shape 
F	beard invert triangle face 
A	beard round face 
C	beard square shape face 
N	reddish face lot wrinkle face 
E	face shape heart shape forehead wide m shaped 
C	face shape little angled 
E	face heart shape 
N	
C	face angle 
B	face oval 
E	face big heart brother 
A	shape face round shape 
A	mustache beard round face 
B	face shape like egg chin point 
D	keep straight face look like nice person shape face long shape 
B	face oval 
A	short hair come jawline lot fat face 
C	slightly long angle face 
D	bright yellow skin long face shape 
D	face shape oblong trim tooth small compare face 
A	shape face round shape 
A	beard round face 
A	beard round face 
A	rounded face shape 
N	
E	square jaw sharp face round end square jaw sharp face round end 
C	face rectangle shape skin ivory 
E	keep straight face look like nice person shape face long shape 
A	round shape face line fat face round shape face line fat face 
B	face oval 
B	oval face 
D	face type oblong 
D	little beard long face 
A	small face round shape face line 
C	beard angle face 
B	apricot skin egg shape face face 
B	egg shape face slight fat cheek 
D	slightly wide angled face 
E	round v shaped face white skin good skin texture 
A	round face white soft skin 
A	face round shape 
D	beard long round face 
A	face round shape 
B	white skin egg shape face face 
B	face oval shape skin natural color clean little redness 
N	
D	long face 
B	face shape oval 
D	chin round long face shape 
D	face generally red long face shape face generally red long face shape 
A	wide low jaw long chin round face 
A	chin chubby jawline round 
A	beard round face 
B	face shape oval shape wide straight forehead overall face color warm natural color redness face shape oval shape wide straight forehead overall face color warm natural color redness beard philtrum jawline length fur short shape rap industry standard 
C	face shape angle 
N	
A	face shape round fat chin cheek 
C	face rectangle shape slight cheekbone skin ivory color light freckle face 
A	medium refined nose straight forehead round face 
B	wide face face shape oval 
N	small face 
N	eye sparkle jawline clear 
A	face round shape 
B	face egg shape 
B	face generally flush face shape oval face face shape oval face 
C	face shape angle 
B	white skin egg shape face face 
A	face shape round 
N	
N	
B	white skin egg shape face face 
B	medium refined nose oval shape face 
C	face hexagonal 
A	white skin round face face 
B	overall egg face shape bright white skin color 
B	face shape like oval 
A	face round shape 
C	face shape square 
C	angled face shape 
A	face shape round straight forehead face color warm natural sign red light nose cheek forehead 
D	slightly elongate face beige skin slightly oily skin 
E	round v shaped face bright beige skin good skin texture 
D	shape face long shape 
A	wrinkles face look like wrinkles eye face round shape 
D	ear visible side long face shape 
B	face egg shape 
F	wide straight forehead triangular face 
B	medium refined nose oval face 
D	beard slightly long angle face 
A	round shape face line 
N	
B	face shape oval 
N	
C	face shape square type jaw size large 
B	elongate oval face reddish yellowish brown skin poor skin texture 
A	wide face low face short 
A	face shape round 
F	face shape triangle 
A	face round shape 
A	keep straight face look like pretty girl shape face round shape 
C	shape face rectangle forehead broad curve 
C	face shape rectangle broad straight forehead face color beige nose cheek slightly pink 
A	face shape round 
